Название,Адрес,Район,классификация,Чек,Описание,Метро,_sheet_row_number
Стрелка Васильевского острова,"Биржевая площадь, 1",Васильевский остров,"база, архитектура",Бесплатно,"Добро пожаловать в Петербург! Со стрелки открывается потрясающий вид на Неву! А ещё здесь Ростральные колонны — маяки или памятники морской славы. Своё название они получили из-за того, что на них расположены декоративные изображения носовых частей корабля — «рострумы». Колонны зажигают по большим праздникам. Если вы одинокая девушка, вот вам обряд: если вы поцелуете каменного льва или возьмётесь за кольцо в его пасти, то в скором времени удачно выйдете замуж. Если вы одинокий мужчина, то ищите девушек, целующих скульптуры",Василеостровская,2
Дворец Меньшикова,"Университетская набережная, 15",Васильевский остров,"база, архитектура",700₽,Петровское барокко и первое каменное здание Петербурга. Изразцовые интерьеры: 27 810 расписных плиток украшают стены и потолки четырёх комнат! Вход — только в составе экскурсии. Вт–Вс: 11:00–18:00.,Василеостровская,3
Деревянный дом и окна с фальконье,"Набережная Макарова, 14Б",Васильевский остров,неформальный,Бесплатно,"Частный деревянный дом в центре Петербурга — в 1,5 км от Эрмитажа. Спрятан во дворе за аркой. В нём проживал (возможно, до сих пор проживает) пенсионер. В интервью местным СМИ он рассказывал, что отказался переезжать, когда ему предложили квартиру в новом районе. Дом должны были снести в 2016 году. В 2026 году дом стоит, территория вокруг выглядит чистой и уютной. А если поднять голову вверх, можно увидеть окна с стеклянными кирпичами фальконье",Василеостровская,4
Двор из фильма Брат,"Тучков переулок., 11",Васильевский остров,неформальный,Бесплатно,"Проходной двор, где снимали сцену погони из фильма ""Брат"" Балабанова. Атмосфера с того времени почти не поменялось. Попасть — просто толкнуть калитку. Включайте саундтреки из фильма и погружайтесь в атмосферу",Василеостровская,5
Табличка Балабанова,"Малый проспект. В.О., 5",Васильевский остров,неформальный,Бесплатно,"Мемориальная табличка от фанатов великому режиссёру Алексею Балабанову — здесь он жил. Васильевский остров часто мелькал в его фильмах, а местные колоритные жители становились прообразами персонажей.",Василеостровская,6
Андреевский бульвар,6-7 линии В.О.,Васильевский остров,база,Бесплатно,"Пешеходная зона, в народе известная как «пьяная аллея», сейчас постепенно благоустраивается. Здесь находится памятник Василию Корчмину — артиллеристу Петра I, которого считают одним из «отцов» Васильевского острова. По легенде, от его имени могло появиться название острова. 
Рядом со станцией метро «Василеостровская» стоит конка — городской транспорт, который тянули лошади. Петербург был одним из первых городов России с конно-железной дорогой, и этот экспонат — напоминание о том, как передвигался город",Василеостровская,7
Стрит-арт плитка aleshaa,"Большой проспект В.О., 16",Васильевский остров,неформальный,Бесплатно,"Гуляете по Петербургу — смотрите под ноги! Иногда брусчатку подменяет уличный художник aleshaa. Яркий стрит-арт с узором петербургской плитки, прямо у модного Василеостровского рынка.",Василеостровская,8
Церковь Святой Екатерины у Тучкова моста,"Кадетская линия В.О., 27А",Васильевский остров,база,Бесплатно,"Один из самых красивых православных храмов Васильевского острова: гармоничные пропорции, выразительный силуэт и тот самый ангел с крестом на куполе — его называют третьим хранителем Петербурга.",Василеостровская,9
Музей оптики ИТМО,"Биржевая линия, 14",Васильевский остров,музей,от 350₽,"Интерактивный музей на базе университета ИТМО. Из 9 залов часть рассказывают об истории оптики и технологиях будущего, другие знакомят с оптическими явлениями вживую: вы можете «заморозить» свои тени или порисовать светом и ощутить себя Леонардо да Винчи. Оптоклоны шедевров Фаберже и Алмазного фонда, исторические голограммы, уникальная коллекция стекла, являющаяся световым органом, позволяют представить себя на месте героев фантастических фильмов и узнать, как оптические технологии работают в самых разных сферах человеческой деятельности. Музей оптики занимает первый этаж бывшего дома купцов Елисеевых, ныне Университета ИТМО.",Василеостровская,10
ИТМО Art and Science центр,"Биржевая линия, 16",Васильевский остров,неформальный,зависит от мероприятия,Пространство на стыке искусства и науки. Проверяйте актуальное расписание на сайте. Но даже если пространство закрыто - можно попасть на диджитал выставку,Василеостровская,11
